,Program,Site,Date,Category,Genus,Species,Abundance,Cell.Per.Liter,Water.Source,Perc.Large,Perc.Small,Perc.Species,Comments
57,SoundToxins,Budd Inlet- Port Plaza,11/8/23 12:00,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,39,
58,SoundToxins,Budd Inlet- Port Plaza,11/8/23 12:00,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,58,
59,SoundToxins,Budd Inlet- Port Plaza,11/8/23 12:00,Dinoflagellate,Dinophysis,norvegica,,NA,,NA,NA,2.5,
60,SoundToxins,Budd Inlet- Port Plaza,11/8/23 12:00,Dinoflagellate,Dinophysis,parva,,NA,,NA,NA,0.5,
61,SoundToxins,Liberty Bay,11/7/23 9:30,Dinoflagellate,Dinophysis,acuminata,Present,28,Net Tow,NA,NA,NA,
62,SoundToxins,Budd Inlet- Port Plaza,11/3/23 11:30,Dinoflagellate,Dinophysis,acuminata,Present,NA,,NA,NA,75,
63,SoundToxins,Budd Inlet- Port Plaza,11/3/23 11:30,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,25,
64,SoundToxins,Budd Inlet- Port Plaza,11/3/23 11:30,Dinoflagellate,Dinophysis,spp.,Present,48,Net Tow,NA,NA,NA,
65,SoundToxins,Quartermaster Harbor - Dockton,10/30/23 14:30,Dinoflagellate,Dinophysis,sp.,Present,10,Net Tow,NA,NA,NA,
66,SoundToxins,Budd Inlet- Port Plaza,10/28/23 13:30,Dinoflagellate,Dinophysis,rotundata,,NA,,NA,NA,0.5,
67,SoundToxins,Budd Inlet- Port Plaza,10/28/23 13:30,Dinoflagellate,Dinophysis,spp.,Bloom,4435,Net Tow,NA,NA,NA,
68,SoundToxins,Budd Inlet- Port Plaza,10/28/23 13:30,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,55,
69,SoundToxins,Budd Inlet- Port Plaza,10/28/23 13:30,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,38,
70,SoundToxins,Budd Inlet- Port Plaza,10/28/23 13:30,Dinoflagellate,Dinophysis,norvegica,,NA,,NA,NA,6,
71,SoundToxins,Budd Inlet- Port Plaza,10/28/23 13:30,Dinoflagellate,Dinophysis,odiosa,,NA,,NA,NA,0.5,
72,SoundToxins,Sequim Bay,10/26/23 14:00,Dinoflagellate,Dinophysis,fortii,Present,NA,,NA,NA,NA,
73,SoundToxins,Liberty Bay,10/24/23 9:00,Dinoflagellate,Dinophysis,spp.,Present,641,Net Tow,NA,NA,NA,
74,SoundToxins,Liberty Bay,10/24/23 9:00,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,83,
75,SoundToxins,Liberty Bay,10/24/23 9:00,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,17,
76,SoundToxins,Quartermaster Harbor - Dockton,10/23/23 12:15,Dinoflagellate,Dinophysis,spp.,Absent,0,Net Tow,NA,NA,NA,
77,SoundToxins,Budd Inlet- Port Plaza,10/20/23 16:45,Dinoflagellate,Dinophysis,spp.,Common,762,Net Tow,NA,NA,NA,
78,SoundToxins,Budd Inlet- Port Plaza,10/20/23 16:45,Dinoflagellate,Dinophysis,odiosa,,NA,,NA,NA,2,
79,SoundToxins,Budd Inlet- Port Plaza,10/20/23 16:45,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,66,
80,SoundToxins,Budd Inlet- Port Plaza,10/20/23 16:45,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,30,
81,SoundToxins,Budd Inlet- Port Plaza,10/20/23 16:45,Dinoflagellate,Dinophysis,norvegica,,NA,,NA,NA,1,
82,SoundToxins,Budd Inlet- Port Plaza,10/20/23 16:45,Dinoflagellate,Dinophysis,parva,,NA,,NA,NA,1,
83,SoundToxins,Sequim Bay,10/20/23 15:15,Dinoflagellate,Dinophysis,sp.,Present,NA,,NA,NA,NA,
84,SoundToxins,Liberty Bay,10/17/23 9:00,Dinoflagellate,Dinophysis,spp.,Present,514,Net Tow,NA,NA,NA,
85,SoundToxins,Liberty Bay,10/17/23 9:00,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,77,
86,SoundToxins,Liberty Bay,10/17/23 9:00,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,23,
87,SoundToxins,Quartermaster Harbor - Dockton,10/15/23 12:45,Dinoflagellate,Dinophysis,spp.,Absent,0,Net Tow,NA,NA,NA,
88,SoundToxins,Budd Inlet- Port Plaza,10/12/23 15:15,Dinoflagellate,Dinophysis,spp.,Common,661,Net Tow,NA,NA,NA,Some of the D. acuta might be D. norvegica & vice versa.
89,SoundToxins,Budd Inlet- Port Plaza,10/12/23 15:15,Dinoflagellate,Dinophysis,rotundata,,NA,,NA,NA,1,
90,SoundToxins,Budd Inlet- Port Plaza,10/12/23 15:15,Dinoflagellate,Dinophysis,acuta,,NA,,NA,NA,14,
91,SoundToxins,Budd Inlet- Port Plaza,10/12/23 15:15,Dinoflagellate,Dinophysis,norvegica,,NA,,NA,NA,3,
92,SoundToxins,Budd Inlet- Port Plaza,10/12/23 15:15,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,41,
93,SoundToxins,Budd Inlet- Port Plaza,10/12/23 15:15,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,41,
94,SoundToxins,Sequim Bay,10/10/23 11:30,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,33,
95,SoundToxins,Sequim Bay,10/10/23 11:30,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,50,
96,SoundToxins,Sequim Bay,10/10/23 11:30,Dinoflagellate,Dinophysis,rotundata,,NA,,NA,NA,17,
97,SoundToxins,Sequim Bay,10/10/23 11:30,Dinoflagellate,Dinophysis,spp.,Present,159,Net Tow,NA,NA,NA,
98,SoundToxins,Liberty Bay,10/10/23 9:00,Dinoflagellate,Dinophysis,acuminata,Present,52,Net Tow,NA,NA,NA,
99,SoundToxins,Quartermaster Harbor - Dockton,10/7/23 16:00,Dinoflagellate,Dinophysis,sp.,Present,17,Net Tow,NA,NA,NA,
100,SoundToxins,Sequim Bay,10/4/23 14:30,Dinoflagellate,Dinophysis,spp.,Present,411,Net Tow,NA,NA,NA,
101,SoundToxins,Sequim Bay,10/4/23 14:30,Dinoflagellate,Dinophysis,acuminata,Present,NA,,NA,NA,64,
102,SoundToxins,Sequim Bay,10/4/23 14:30,Dinoflagellate,Dinophysis,acuta,Present,NA,,NA,NA,9,
103,SoundToxins,Sequim Bay,10/4/23 14:30,Dinoflagellate,Dinophysis,fortii,Present,NA,,NA,NA,27,
104,SoundToxins,Budd Inlet- Port Plaza,10/4/23 12:15,Dinoflagellate,Dinophysis,spp.,Present,48,Net Tow,NA,NA,NA,
105,SoundToxins,Budd Inlet- Port Plaza,10/4/23 12:15,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,50,
106,SoundToxins,Budd Inlet- Port Plaza,10/4/23 12:15,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,50,
107,SoundToxins,Liberty Bay,10/3/23 9:00,Dinoflagellate,Dinophysis,spp.,Present,163,Net Tow,NA,NA,NA,
108,SoundToxins,Liberty Bay,10/3/23 9:00,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,95,
109,SoundToxins,Liberty Bay,10/3/23 9:00,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,5,
110,SoundToxins,Quartermaster Harbor - Dockton,10/1/23 10:30,Dinoflagellate,Dinophysis,sp.,Absent,0,Net Tow,NA,NA,NA,
111,SoundToxins,Budd Inlet- Port Plaza,9/28/23 13:45,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,62,
112,SoundToxins,Budd Inlet- Port Plaza,9/28/23 13:45,Dinoflagellate,Dinophysis,spp.,Present,77,Net Tow,NA,NA,NA,
113,SoundToxins,Budd Inlet- Port Plaza,9/28/23 13:45,Dinoflagellate,Dinophysis,odiosa,,NA,,NA,NA,7,
114,SoundToxins,Budd Inlet- Port Plaza,9/28/23 13:45,Dinoflagellate,Dinophysis,norvegica,,NA,,NA,NA,23,
115,SoundToxins,Budd Inlet- Port Plaza,9/28/23 13:45,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,8,
116,SoundToxins,Sequim Bay,9/27/23 12:30,Dinoflagellate,Dinophysis,fortii,Present,NA,,NA,NA,83,
117,SoundToxins,Sequim Bay,9/27/23 12:30,Dinoflagellate,Dinophysis,parva,Present,NA,,NA,NA,17,
118,SoundToxins,Sequim Bay,9/27/23 12:30,Dinoflagellate,Dinophysis,spp.,Present,122,Net Tow,NA,NA,NA,
119,SoundToxins,Quartermaster Harbor - Dockton,9/25/23 13:15,Dinoflagellate,Dinophysis,spp.,Absent,NA,,NA,NA,NA,
120,SoundToxins,Budd Inlet- Port Plaza,9/21/23 11:15,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,83,
121,SoundToxins,Budd Inlet- Port Plaza,9/21/23 11:15,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,11,
122,SoundToxins,Budd Inlet- Port Plaza,9/21/23 11:15,Dinoflagellate,Dinophysis,norvegica,,NA,,NA,NA,4,
123,SoundToxins,Budd Inlet- Port Plaza,9/21/23 11:15,Dinoflagellate,Dinophysis,odiosa,,NA,,NA,NA,2,
124,SoundToxins,Budd Inlet- Port Plaza,9/21/23 11:15,Dinoflagellate,Dinophysis,spp.,Common,268,Net Tow,NA,NA,NA,increase from earlier in the week
125,SoundToxins,Liberty Bay,9/19/23 9:00,Dinoflagellate,Dinophysis,acuminata,Present,85,,NA,NA,NA,
126,SoundToxins,Quartermaster Harbor - Dockton,9/18/23 16:30,Dinoflagellate,Dinophysis,spp.,Present,33,,NA,NA,NA,count 33 cells/liter
127,SoundToxins,Budd Inlet- Port Plaza,9/14/23 13:30,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,22,
128,SoundToxins,Budd Inlet- Port Plaza,9/14/23 13:30,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,33,
129,SoundToxins,Budd Inlet- Port Plaza,9/14/23 13:30,Dinoflagellate,Dinophysis,norvegica,,NA,,NA,NA,45,
130,SoundToxins,Budd Inlet- Port Plaza,9/14/23 13:30,Dinoflagellate,Dinophysis,spp.,Present,54,Net Tow,NA,NA,NA,
131,SoundToxins,Quartermaster Harbor - Dockton,9/13/23 17:00,Dinoflagellate,Dinophysis,spp.,Absent,NA,,NA,NA,NA,
132,SoundToxins,Sequim Bay,9/13/23 14:00,Dinoflagellate,Dinophysis,fortii,Present,NA,,NA,NA,NA,
133,SoundToxins,Liberty Bay,9/12/23 9:00,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,65,
134,SoundToxins,Liberty Bay,9/12/23 9:00,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,21,
135,SoundToxins,Liberty Bay,9/12/23 9:00,Dinoflagellate,Dinophysis,rotundata,,NA,,NA,NA,14,
136,SoundToxins,Liberty Bay,9/12/23 9:00,Dinoflagellate,Dinophysis,spp.,Present,947,Net Tow,NA,NA,NA,
137,SoundToxins,Sequim Bay,9/7/23 11:15,Dinoflagellate,Dinophysis,spp.,Present,100,Net Tow,NA,NA,NA,
138,SoundToxins,Sequim Bay,9/7/23 11:15,Dinoflagellate,Dinophysis,parva,Present,NA,,NA,NA,20,
139,SoundToxins,Sequim Bay,9/7/23 11:15,Dinoflagellate,Dinophysis,acuminata,Present,NA,,NA,NA,40,
140,SoundToxins,Sequim Bay,9/7/23 11:15,Dinoflagellate,Dinophysis,fortii,Present,NA,,NA,NA,40,
141,SoundToxins,Budd Inlet- Port Plaza,9/7/23 9:00,Dinoflagellate,Dinophysis,spp.,Present,24,Net Tow,NA,NA,NA,
142,SoundToxins,Budd Inlet- Port Plaza,9/7/23 9:00,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,50,
143,SoundToxins,Budd Inlet- Port Plaza,9/7/23 9:00,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,50,
144,SoundToxins,Liberty Bay,9/5/23 9:00,Dinoflagellate,Dinophysis,spp.,Present,746,Net Tow,NA,NA,NA,
145,SoundToxins,Liberty Bay,9/5/23 9:00,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,94,
146,SoundToxins,Liberty Bay,9/5/23 9:00,Dinoflagellate,Dinophysis,parva,,NA,,NA,NA,3,
147,SoundToxins,Liberty Bay,9/5/23 9:00,Dinoflagellate,Dinophysis,rotundata,,NA,,NA,NA,3,
148,SoundToxins,Quartermaster Harbor - Dockton,9/4/23 16:15,Dinoflagellate,Dinophysis,spp.,Absent,NA,,NA,NA,NA,
149,SoundToxins,Budd Inlet- Port Plaza,9/1/23 10:15,Dinoflagellate,Dinophysis,parva,,NA,,NA,NA,5,
150,SoundToxins,Budd Inlet- Port Plaza,9/1/23 10:15,Dinoflagellate,Dinophysis,norvegica,,NA,,NA,NA,39,Some could have been D. acuta
151,SoundToxins,Budd Inlet- Port Plaza,9/1/23 10:15,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,39,
152,SoundToxins,Budd Inlet- Port Plaza,9/1/23 10:15,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,17,
153,SoundToxins,Budd Inlet- Port Plaza,9/1/23 10:15,Dinoflagellate,Dinophysis,spp.,Present,137,Net Tow,NA,NA,NA,
154,SoundToxins,Quartermaster Harbor - Dockton,8/31/23 16:30,Dinoflagellate,Dinophysis,spp.,Absent,NA,,NA,NA,NA,
155,SoundToxins,Sequim Bay,8/30/23 16:15,Dinoflagellate,Dinophysis,fortii,Present,NA,,NA,NA,20,
156,SoundToxins,Sequim Bay,8/30/23 16:15,Dinoflagellate,Dinophysis,spp.,Present,90,Net Tow,NA,NA,NA,
157,SoundToxins,Sequim Bay,8/30/23 16:15,Dinoflagellate,Dinophysis,parva,Present,NA,,NA,NA,20,
158,SoundToxins,Sequim Bay,8/30/23 16:15,Dinoflagellate,Dinophysis,acuminata,Present,NA,,NA,NA,40,
159,SoundToxins,Sequim Bay,8/30/23 16:15,Dinoflagellate,Dinophysis,acuta,Present,NA,,NA,NA,20,
160,SoundToxins,Quartermaster Harbor - Dockton,8/24/23 11:30,Dinoflagellate,Dinophysis,sp.,Present,NA,,NA,NA,NA,
161,SoundToxins,Budd Inlet- Port Plaza,8/24/23 9:45,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,21,
162,SoundToxins,Budd Inlet- Port Plaza,8/24/23 9:45,Dinoflagellate,Dinophysis,spp.,Present,339,Net Tow,NA,NA,NA,
163,SoundToxins,Budd Inlet- Port Plaza,8/24/23 9:45,Dinoflagellate,Dinophysis,norvegica,,NA,,NA,NA,16,
164,SoundToxins,Budd Inlet- Port Plaza,8/24/23 9:45,Dinoflagellate,Dinophysis,odiosa,,NA,,NA,NA,2,
165,SoundToxins,Budd Inlet- Port Plaza,8/24/23 9:45,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,61,
166,SoundToxins,Sequim Bay,8/23/23 13:45,Dinoflagellate,Dinophysis,spp.,Present,201,Net Tow,NA,NA,NA,
167,SoundToxins,Sequim Bay,8/23/23 13:45,Dinoflagellate,Dinophysis,parva,Present,NA,,NA,NA,27,
168,SoundToxins,Sequim Bay,8/23/23 13:45,Dinoflagellate,Dinophysis,norvegica,Present,NA,,NA,NA,9,
169,SoundToxins,Sequim Bay,8/23/23 13:45,Dinoflagellate,Dinophysis,fortii,Present,NA,,NA,NA,9,
170,SoundToxins,Sequim Bay,8/23/23 13:45,Dinoflagellate,Dinophysis,acuta,Present,NA,,NA,NA,9,
171,SoundToxins,Sequim Bay,8/23/23 13:45,Dinoflagellate,Dinophysis,acuminata,Present,NA,,NA,NA,45,
172,SoundToxins,Liberty Bay,8/22/23 9:00,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,80,
173,SoundToxins,Liberty Bay,8/22/23 9:00,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,10,
174,SoundToxins,Liberty Bay,8/22/23 9:00,Dinoflagellate,Dinophysis,rotundata,,NA,,NA,NA,10,
175,SoundToxins,Liberty Bay,8/22/23 9:00,Dinoflagellate,Dinophysis,spp.,Present,304,Net Tow,NA,NA,NA,
176,SoundToxins,Budd Inlet- Port Plaza,8/17/23 10:00,Dinoflagellate,Dinophysis,spp.,Common,905,Net Tow,NA,NA,NA,
177,SoundToxins,Budd Inlet- Port Plaza,8/17/23 10:00,Dinoflagellate,Dinophysis,rotundata,,NA,,NA,NA,5,
178,SoundToxins,Budd Inlet- Port Plaza,8/17/23 10:00,Dinoflagellate,Dinophysis,norvegica,,NA,,NA,NA,20,
179,SoundToxins,Budd Inlet- Port Plaza,8/17/23 10:00,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,49,
180,SoundToxins,Budd Inlet- Port Plaza,8/17/23 10:00,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,26,
181,SoundToxins,Sequim Bay,8/16/23 10:00,Dinoflagellate,Dinophysis,acuta,Present,NA,,NA,NA,17,
182,SoundToxins,Sequim Bay,8/16/23 10:00,Dinoflagellate,Dinophysis,acuminata,Present,NA,,NA,NA,50,
183,SoundToxins,Sequim Bay,8/16/23 10:00,Dinoflagellate,Dinophysis,fortii,Present,NA,,NA,NA,33,
184,SoundToxins,Sequim Bay,8/16/23 10:00,Dinoflagellate,Dinophysis,spp.,Present,165,Net Tow,NA,NA,NA,
185,SoundToxins,Liberty Bay,8/15/23 9:00,Dinoflagellate,Dinophysis,spp.,Present,231,Net Tow,NA,NA,NA,
186,SoundToxins,Liberty Bay,8/15/23 9:00,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,75,
187,SoundToxins,Liberty Bay,8/15/23 9:00,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,25,
188,SoundToxins,Quartermaster Harbor - Dockton,8/13/23 16:00,Dinoflagellate,Dinophysis,spp.,Absent,NA,,NA,NA,NA,
189,SoundToxins,Budd Inlet- Port Plaza,8/10/23 14:45,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,18,
190,SoundToxins,Budd Inlet- Port Plaza,8/10/23 14:45,Dinoflagellate,Dinophysis,acuta,,NA,,NA,NA,5,
191,SoundToxins,Budd Inlet- Port Plaza,8/10/23 14:45,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,42,
192,SoundToxins,Budd Inlet- Port Plaza,8/10/23 14:45,Dinoflagellate,Dinophysis,rotundata,,NA,,NA,NA,3,
193,SoundToxins,Budd Inlet- Port Plaza,8/10/23 14:45,Dinoflagellate,Dinophysis,parva,,NA,,NA,NA,3,
194,SoundToxins,Budd Inlet- Port Plaza,8/10/23 14:45,Dinoflagellate,Dinophysis,norvegica,,NA,,NA,NA,29,
195,SoundToxins,Budd Inlet- Port Plaza,8/10/23 14:45,Dinoflagellate,Dinophysis,spp.,Present,387,Net Tow,NA,NA,NA,
196,SoundToxins,Sequim Bay,8/9/23 10:00,Dinoflagellate,Dinophysis,spp.,Present,52,Net Tow,NA,NA,NA,
197,SoundToxins,Sequim Bay,8/9/23 10:00,Dinoflagellate,Dinophysis,acuta,Present,NA,,NA,NA,25,
198,SoundToxins,Sequim Bay,8/9/23 10:00,Dinoflagellate,Dinophysis,acuminata,Present,NA,,NA,NA,75,
199,SoundToxins,Liberty Bay,8/8/23 9:15,Dinoflagellate,Dinophysis,rotundata,,NA,,NA,NA,6,
200,SoundToxins,Liberty Bay,8/8/23 9:15,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,94,
