Date,IFCB,Station Number,Distance from 36,Calculated Chlorophyll,Calculated Oxygen,Optical Backscatter,Calculated SPM,Salinity,Temperature,Nitrite,Nitrate + Nitrite,Ammonium,Phosphate,Silicate,Measured Extinction Coefficient
4/23/13,,28,23.57,4.2,7.4,0.62,24,27.21,16.62,,,,,,1.91
4/23/13,,27,26.19,4.4,7.5,0.51,20,27.3,16.43,1.98,33.26,9.89,5.78,,1.76
4/23/13,,26,28.76,5.4,7.7,0.91,36,27.5,16.29,,,,,,1.84
4/23/13,,25,32.84,7,7.8,1.08,44,27.72,15.73,,,,,,2.86
4/23/13,,24,37.09,5.9,7.7,0.62,24,27.97,15.04,1.52,24.16,7.36,3.05,,1.89
4/23/13,,23,39.66,7.9,7.7,0.52,21,28.11,14.88,,,,,,1.55
4/23/13,,22,43.92,5.9,7.6,0.33,13,28.96,13.35,,,,,,1.08
4/23/13,,21,46.63,7.2,7.6,0.37,14,28.95,13.46,1.19,29.29,5.31,3.31,,0.92
4/23/13,,20,51.45,3.4,7.6,0.24,10,30.54,12.13,,,,,,0.81
4/23/13,,18,54.95,4.4,7.4,0.24,10,31.37,11.39,0.82,27.8,2.74,2.56,,0.7
4/23/13,,17,58.89,6,7.6,0.3,12,29.22,13.14,,,,,,0.68
4/23/13,,16,63.08,6.2,7.5,0.54,20,29.74,12.76,,,,,,1.04
4/23/13,,15,69.99,4.7,7.7,0.48,18,27.6,13.85,1.15,26.69,4.09,2.71,,1.01
4/23/13,,14,74.43,5.3,7.7,0.5,19,26.35,14.38,,,,,,1
4/23/13,,13,78.54,6.2,7.7,0.68,25,25.74,14.77,1.15,26.9,4.38,2.83,,1.41
4/23/13,,12,84.45,4.9,8,1.15,42,23.95,15.83,,,,,,1.69
4/23/13,,11,89.77,5.5,7.9,0.85,31,21.14,16.46,,,,,,2.89
4/23/13,,10,93.6,4.5,7.8,0.84,31,21.08,16.25,,,,,,2.31
4/23/13,,9,96.79,5,7.9,0.89,33,19.79,16.49,1.36,29.88,5.48,3.26,,2.12
4/23/13,,6,110.9,3,8.2,1.24,45,12.09,17.31,1.57,37.53,6.63,3.75,,2.4
4/23/13,,3,125.32,3.1,8.6,1.4,51,4.53,17.37,1.43,37.21,5.57,3.35,,3.09
4/23/13,,649,132.94,13.4,8.9,1.81,65,1.76,17.34,1.19,37.64,4.44,3.02,,3.24
4/23/13,,657,147.25,5.7,8.7,0.8,30,0.1,17.64,1.48,28.47,11.82,2.39,,1.99
5/3/13,,21,46.63,7.7,7.9,0.45,17,29.86,15.2,1.28,30.4,7.58,3.16,,1.12
5/3/13,,22,43.92,6.8,7.9,0.26,8,29.81,15.1,,,,,,0.91
5/3/13,,23,39.66,6.8,7.8,0.31,10,29.06,16.23,,,,,,0.65
5/3/13,,24,37.09,6.1,8.1,0.28,9,29.23,15.94,1.77,35.2,6.47,4.23,,1.03
5/3/13,,25,32.84,5.8,7.7,0.35,12,28.5,17.04,,,,,,1.13
5/3/13,,26,28.76,8.3,7.8,0.32,11,28.07,18.09,,,,,,0.74
5/3/13,,27,26.19,9.5,7.6,0.37,13,27.76,18.58,2.05,34.21,6.48,5.63,,0.81
5/3/13,,28,23.57,9.2,7.5,0.4,15,27.7,18.95,,,,,,0.76
5/3/13,,29,20.25,,7.2,0.41,15,27.56,19.28,,,,,,1.2
5/3/13,,30,14.75,,7,0.55,21,27.29,19.4,1.55,34.58,6.21,5.58,,1.22
5/3/13,,31,10.61,,6.5,1.22,50,27,19.57,,,,,,
5/3/13,,32,8.15,,6.3,1.34,56,26.55,19.88,1.72,42.65,5.88,7.51,,3.41
5/3/13,,33,6.81,,6.3,1.19,49,26.21,20.19,,,,,,3.77
5/3/13,,34,3.53,,6.4,1.63,68,25.44,20.9,,,,,,4.36
5/3/13,,35,1.66,,5.6,1.93,82,24.44,20.93,,,,,,
5/3/13,,36,0,,5.8,1.8,76,22.62,21.73,2.57,83.63,10.52,12.35,,4.37
5/17/13,,36,0,5.6,6.5,0.95,37,27.22,18.63,1.94,38.7,7.06,8.8,,2.4
5/17/13,,35,1.66,5.5,6.4,0.87,34,27.23,18.66,,,,,,2.58
5/17/13,,34,3.53,6.1,6.3,1.45,57,27.51,18.49,,,,,,3.14
5/17/13,,33,6.81,6.6,6.7,1.11,43,27.95,18.75,,,,,,3.13
5/17/13,,32,8.15,6,6.8,0.84,33,27.96,18.62,1.19,31.3,4.04,6.57,,2.59
5/17/13,,31,10.61,5.7,6.9,0.71,27,28.04,18.51,,,,,,2.1
5/17/13,,30,14.75,5.4,7.1,0.8,31,28.16,18.31,1.34,32.37,5.17,5.75,,2.44
5/17/13,,29.5,17.56,5.1,7.1,0.65,25,28.15,18.22,,,,,,2.05
5/17/13,,29,20.25,4.9,7,0.78,30,28.15,18.3,,,,,,2.31
5/17/13,,28,23.57,4.5,7.2,0.53,20,28.25,18.17,,,,,,1.73
5/17/13,,27,26.19,4.9,7.3,0.45,17,28.33,18.14,1.74,31.59,7.45,5.43,,1.55
5/17/13,,26,28.76,5,7.3,0.4,15,28.63,17.92,,,,,,1.32
5/17/13,,25,32.84,4.8,,0.73,28,28.96,17.33,,,,,,2.06
5/17/13,,24,37.09,5.5,7.6,0.4,15,29.41,16.88,1.39,26.34,7.71,3.31,,1.02
5/17/13,,23,39.66,5.8,7.6,0.47,18,29.47,16.8,,,,,,1.41
5/17/13,,22,43.92,6.5,7.7,0.35,13,29.82,16.3,,,,,,0.81
5/17/13,,21,46.63,7.1,7.6,0.53,20,29.66,16.77,1.35,23.51,8.51,3.14,,1.16
5/17/13,,20,51.45,6.2,7.8,0.29,10,29.98,16.24,,,,,,0.71
5/17/13,,18,54.95,,7.8,,,29.13,16.27,0.98,20.22,6.19,2.35,,
6/17/13,,18,54.95,4.6,7.6,0.3,7,30.64,15.97,1.14,22.21,6.31,2.78,,
6/17/13,,20,51.45,7.3,7.6,0.3,7,30.26,16.61,,,,,,
6/17/13,,21,46.63,8,7.3,0.47,16,30.48,17.64,1.51,25.15,8.14,3.34,,1.18
6/17/13,,23,39.66,6.3,7.2,0.43,14,30.31,18.01,,,,,,1.45
6/17/13,,24,37.09,6.1,7.2,0.62,25,30.22,18.47,2.2,32.45,7.23,4.54,,
6/17/13,,25,32.84,6,7.2,0.65,27,30.24,18.61,,,,,,
6/17/13,,26,28.76,6.2,6.9,0.75,33,29.98,19.48,,,,,,2.38
6/17/13,,27,26.19,6.9,6.9,0.67,28,29.93,19.68,1.54,33.48,4.87,5.74,,
6/17/13,,29,20.25,6.9,6.8,0.79,35,29.96,19.89,,,,,,
6/17/13,,30,14.75,7,6.9,1.19,58,29.97,20.01,1.35,36.81,2.98,5.94,,
6/17/13,,32,8.15,8.3,6.7,0.83,37,29.54,20.66,1.33,34.76,4.27,8.27,,
6/17/13,,33,6.81,6.9,6.6,1.04,49,29.13,20.6,,,,,,2.72
6/17/13,,34,3.53,5.7,6.2,1.64,83,28.27,20.78,,,,,,4.79
6/17/13,,35,1.66,7,6.3,1.6,80,26.2,21.18,,,,,,4.92
6/17/13,,36,0,8.3,5.8,1.55,78,23.84,21.34,6.12,115.19,15.75,18.22,,
7/1/13,,18,54.95,5.1,7.3,0.35,10,31.58,15.72,1.04,22.56,7.3,2.56,,0.9
7/1/13,,20,51.45,5.5,7.2,0.38,11,30.92,16.91,,,,,,0.87
7/1/13,,21,46.63,6.1,7.1,0.43,14,30.72,17.84,1.43,26.75,8.49,3.43,,1.01
7/1/13,,22,43.92,5.9,7.3,0.3,7,30.7,17.32,,,,,,0.7
7/1/13,,23,39.66,4.8,7.2,0.43,14,30.7,18.68,,,,,,1.25
7/1/13,,24,37.09,3.6,6.7,0.5,17,30.63,19,2.16,31.09,9.23,3.9,,1.49
7/1/13,,25,32.84,3.9,6.6,0.57,21,30.52,19.94,,,,,,1.98
7/1/13,,26,28.76,4.5,6.8,0.68,26,30.5,20.31,,,,,,1.86
7/1/13,,27,26.19,4.5,6.6,0.57,21,30.43,20.77,2.5,38.33,3.94,5.65,,1.99
7/1/13,,28,23.57,4.1,6.6,0.54,20,30.45,20.86,,,,,,1.26
7/1/13,,29,20.25,5,6.8,0.49,17,30.41,21.47,,,,,,1.26
7/1/13,,29.5,17.56,6.3,6.5,0.53,19,30.41,22.33,,,,,,1.77
7/1/13,,30,14.75,13.3,6.9,0.44,14,30.41,22.48,1.51,30.22,1.55,6.9,,1.65
7/1/13,,31,10.61,7,6.4,0.65,25,30.32,22.65,,,,,,1.81
7/1/13,,32,8.15,22.5,6.5,0.55,20,30.07,23.63,2.36,44.34,3.98,9.71,,1.94
7/1/13,,33,6.81,8.8,6.2,0.78,31,29.71,23.87,,,,,,2.39
7/1/13,,34,3.53,2,,1.65,74,28.75,24,,,,,,3.48
7/1/13,,35,1.66,9.8,6.1,0.93,39,28.18,24.74,,,,,,2.43
7/1/13,,36,0,9.3,5.2,1.62,73,26.71,24.65,5.7,91.97,13.63,16.95,,3.28
7/15/13,,36,0,5.5,6.3,0.62,25,30.59,21.5,1.54,31.63,5.92,11.42,,1.77
7/15/13,,35,1.66,5.5,6.4,0.58,24,30.68,21.36,,,,,,1.87
7/15/13,,34,3.53,5.9,6.5,0.64,27,31.19,21.36,,,,,,1.82
7/15/13,,33,6.81,6.2,6.7,0.52,21,31.2,21.41,,,,,,1.55
7/15/13,,32,8.15,6.3,6.9,0.45,18,31.16,21.35,0.59,18.52,1.53,7.26,,1.44
7/15/13,,31,10.61,5.5,6.7,0.42,16,31.13,21.58,,,,,,1.36
7/15/13,,30,14.75,5.9,6.9,0.63,26,31.04,21.19,0.61,17.08,2.09,5.69,,1.9
7/15/13,,29.5,17.56,5.3,6.7,0.58,24,31.09,21.42,,,,,,1.66
7/15/13,,29,20.25,5.6,6.6,0.73,31,31.03,21.35,,,,,,2.26
7/15/13,,28,23.57,5.3,6.6,0.71,30,30.96,21.17,,,,,,1.92
7/15/13,,27,26.19,5,6.7,0.54,22,30.96,21.21,1.75,38.11,3.62,6.04,,1.64
7/15/13,,26,28.76,4.9,6.7,0.57,23,30.94,21.16,,,,,,1.72
7/15/13,,25,32.84,5.1,7,0.84,36,30.91,20.53,,,,,,2.44
7/15/13,,24,37.09,4.3,6.9,0.94,41,30.86,19.87,2.55,27.23,6.33,3.81,,2.68
7/15/13,,23,39.66,4.3,6.7,1.4,62,30.86,19.78,,,,,,3.41
7/15/13,,22,43.92,4.2,6.9,0.57,23,31,18.83,,,,,,1.69
7/15/13,,21,46.63,4.4,6.9,0.65,27,30.94,19.03,2.2,29.72,10.35,4.02,,1.89
7/15/13,,20,51.45,4.4,7.1,0.39,15,31.12,17.8,,,,,,1.29
7/15/13,,18,54.95,4.4,7.5,0.25,8,30.75,17.08,1.19,21.63,7.33,3.03,,0.88
7/23/13,,34,3.53,4.7,4.6,4.35,215,30.1,20.65,2.48,40.01,11.95,13.5,,
7/23/13,,33,6.81,5,5.8,3.15,153,30.52,21.29,,,,,,
7/23/13,,32,8.15,5,5.9,2.63,127,30.74,21.17,1.67,34.66,5.88,11.12,,
7/23/13,,31,10.61,5.2,6.4,1.32,60,31.01,21.2,,,,,,3.31
7/23/13,,30,14.75,5.1,6.4,1.72,80,31.23,21.06,1.09,24.64,3.58,8.67,,3.78
7/23/13,,29,20.25,5.1,6.6,1.61,75,31.33,21.27,,,,,,3.8
7/23/13,,28,23.57,5.5,6.6,2.02,95,31.31,21.21,,,,,,4.46
7/23/13,,27,26.19,5.3,6.6,2.87,139,31.31,21.23,1.21,25.93,3.14,6.18,,4.82
7/23/13,,26,28.76,4.8,6.6,2.44,117,31.29,21.1,,,,,,4.12
7/23/13,,25,32.84,4.5,6.6,3.16,154,31.2,20.84,,,,,,4.86
7/23/13,,24,37.09,4.7,6.8,1.31,59,31.1,20.33,2.22,39.5,3.81,5.48,,2.94
7/23/13,,23,39.66,4.6,6.8,1.16,52,31.09,20.11,,,,,,2.82
7/23/13,,22,43.92,5.3,6.9,0.61,23,31.1,19.35,,,,,,1.85
7/23/13,,21,46.63,4.8,6.9,0.57,21,31.11,19.33,2.25,32.28,6.74,4.83,,1.75
7/23/13,,20,51.45,3.6,7.2,0.45,19,30.96,17.53,,,,,,1.42
7/23/13,,18,54.95,3.8,7.2,0.37,11,31.41,17.33,1.63,22.01,8.6,3.45,,1.21
7/23/13,,17,58.89,3.6,7.2,0.48,16,29.38,17.82,,,,,,1.49
7/23/13,,16,63.08,3.3,7.3,0.54,19,27.8,18.41,,,,,,1.59
7/23/13,,15,69.99,3.7,7.5,0.47,16,26.2,19.28,1.4,32.01,5.13,4.65,,1.49
7/23/13,,14,74.43,3.5,7.4,0.59,21,25.41,19.19,,,,,,1.84
7/23/13,,13,78.54,3.2,7.4,0.55,19,25.01,19.01,1.41,31.51,5.13,4.35,,1.66
7/23/13,,12,84.45,3.2,7.6,0.43,14,21.27,19.66,,,,,,1.45
7/23/13,,11,89.77,2.6,7.6,0.68,25,18.96,19.31,,,,,,1.84
7/23/13,,10,93.6,2.9,7.9,0.86,33,15.76,19.42,,,,,,2.46
7/23/13,,9,96.79,2.9,7.9,1.17,47,15.36,19.35,0.96,39.73,5.12,4.91,,2.65
7/23/13,,7,104.98,3,8,0.79,30,11.62,20.12,,,,,,2.17
