Date,Station Number,Lat,Long,Depth,Calculated Chlorophyll,Calculated Oxygen,Salinity,Temperature,Optical Backscatter,Calculated SPM,Measured Extinction Coefficient,Nitrite,Nitrate + Nitrite,Ammonium,Phosphate,Silicate,IFCB
8/22/17,11,38.051667,-122.266667,2,3,7.7,15.02,20.35,0.55,18,1.92,,,,,,
8/22/17,10,38.051667,-122.201389,2,2.7,7.8,12.54,20.18,0.77,30,2.34,,,,,,
8/22/17,9,38.051111,-122.183611,2,3.1,7.9,12.06,19.99,1.51,68,2.93,0.59,21.78,5.28,2.62,121.83,
8/22/17,8,38.018889,-122.150278,2,3,7.9,10.48,20.08,0.86,34,2.61,,,,,,
8/22/17,7,38.035833,-122.085556,2,3.5,8.1,8.59,20.33,1.43,64,3.09,,,,,,
8/22/17,6,38.052500,-122.033611,2,3.5,8.5,4.68,20.97,0.66,24,1.69,0.39,18.13,3.07,2.19,160.94,D20170822T204004_IFCB113
8/22/17,5,38.051667,-121.968889,2,2.7,8.4,2.13,20.84,0.66,24,1.84,,,,,,
8/22/17,4,38.035833,-121.933611,2,2.5,8.4,1.34,20.93,0.67,25,1.73,,,,,,
8/22/17,3,38.050278,-121.868889,2,2.9,8.3,0.83,20.99,0.87,35,2.39,0.5,33.63,3.21,1.9,203.05,
8/22/17,2,38.052222,-121.850278,2,4.1,8.4,0.43,21.18,0.69,26,2.04,,,,,,
8/22/17,649,38.051667,-121.800000,2,5.4,8.4,0.12,21.22,0.94,38,2.56,1,13.35,6.07,1.7,234.67,
8/22/17,657,38.150278,-121.684167,2,2.8,8,0.07,21.66,0.64,23,1.03,0.85,9.85,12.28,1.8,252.98,D20170822T222713_IFCB113
8/30/17,36,37.467500,-122.066667,2,3.7,6.6,26.04,22.26,1.66,56,2.56,2.33,53.05,9.21,11.43,125.99,D20170830T150049_IFCB113
8/30/17,35,37.468889,-122.068611,2,3.6,6.7,26.62,22.23,1.92,65,2.97,,,,,,
8/30/17,34,37.484722,-122.085833,2,3.2,6.7,26.92,22.16,0.96,32,1.64,,,,,,
8/30/17,33,37.501389,-122.117500,2,3.5,6.8,27.16,22.24,0.78,26,1.65,,,,,,
8/30/17,32,37.516944,-122.133333,2,3.4,6.8,27.34,22.09,0.72,24,1.88,1.41,37.63,8.14,8.3,108.35,D20170830T153811_IFCB113
8/30/17,31,37.518611,-122.151389,2,3.2,6.9,27.42,22,0.47,16,1.23,,,,,,
8/30/17,30,37.550833,-122.184444,2,2.8,6.8,27.49,21.73,0.36,12,1.08,2,42.91,10.64,9.04,105.35,
8/30/17,29.5,37.566944,-122.216944,2,2.5,6.7,27.67,21.62,0.37,12,0.84,,,,,,
8/30/17,29,37.568889,-122.235278,2,2.3,6.7,27.83,21.44,0.26,8,0.88,,,,,,
8/30/17,28,37.600278,-122.267222,2,2.4,6.8,27.86,21.3,0.27,9,0.67,,,,,,
8/30/17,27,37.616944,-122.284722,2,2.3,7,28.44,20.85,0.19,6,0.5,1.41,32.06,10.35,6.52,93.87,D20170830T164243_IFCB113
8/30/17,26,37.633889,-122.302222,2,2.6,7.1,28.67,20.48,0.17,6,0.45,,,,,,
8/30/17,25,37.667222,-122.318056,2,2.6,6.8,29.1,20.27,0.16,5,0.59,,,,,,
8/30/17,24,37.685833,-122.334167,2,6.2,6.9,29.25,19.71,0.12,4,0.51,1.55,26.34,11.64,4.55,67.74,
8/30/17,23,37.718611,-122.333889,2,5.7,7.2,29.37,18.99,0.12,4,0.44,,,,,,
8/30/17,22,37.752500,-122.351389,2,5.5,7.3,29.2,18.35,0.13,4,0.64,0.91,16.35,7.92,2.45,49.43,D20170830T174229_IFCB113
8/30/17,21,37.784167,-122.351389,2,7.5,7.5,28.85,18.44,0.12,4,0.59,,,,,,
8/30/17,20,37.817222,-122.385000,2,5.4,7.4,28.69,18.61,0.14,5,0.62,,,,,,
8/30/17,18,37.835556,-122.417500,2,13.5,7.7,29.57,18.04,0.12,4,0.64,0.94,15.49,8,2.45,44.27,D20170830T181623_IFCB113
9/19/17,34,37.484722,-122.085833,2,14.2,6.1,24.19,20.44,7.72,459,,,,,,,D20170919T140234_IFCB113
9/19/17,33,37.501389,-122.117500,2,13,5.9,25.89,20.92,6.36,369,,,,,,,
9/19/17,32,37.516944,-122.133333,2,8,6.5,26.94,21.17,2.75,133,5.53,,,,,,D20170919T142725_IFCB113
9/19/17,31,37.518611,-122.151389,2,6.1,6.4,27.31,21.12,1.71,64,4.57,,,,,,
9/19/17,30,37.550833,-122.184444,2,5.4,6.7,27.76,21.34,1.6,57,4.47,,,,,,
9/19/17,29,37.568889,-122.235278,2,4.4,6.7,28.06,21.45,1.21,31,3.25,,,,,,
9/19/17,28,37.600278,-122.267222,2,3.8,6.7,28.24,21.48,0.92,38,2.57,,,,,,
9/19/17,27,37.616944,-122.284722,2,3.8,6.6,28.29,21.55,0.97,40,2.72,,,,,,D20170919T152658_IFCB113
9/19/17,26,37.633889,-122.302222,2,3.5,6.7,28.49,21.39,0.63,24,1.82,,,,,,
9/19/17,25,37.667222,-122.318056,2,3.4,6.9,29.02,20.7,0.71,28,1.95,,,,,,
9/19/17,24,37.685833,-122.334167,2,2.4,6.8,29.35,20.13,0.54,20,1.3,,,,,,
9/19/17,23,37.718611,-122.333889,2,2.3,6.7,29.17,20.51,0.34,10,0.92,,,,,,
9/19/17,22,37.752500,-122.351389,2,1.4,6.8,29.6,19.06,0.47,16,1.34,,,,,,D20170919T163001_IFCB113
9/19/17,21,37.784167,-122.351389,2,2.3,6.9,29.25,18.92,0.33,10,0.9,,,,,,
9/19/17,20,37.817222,-122.385000,2,2.3,6.9,30.25,18.25,0.34,10,0.86,,,,,,
9/19/17,18,37.835556,-122.417500,2,2.2,6.9,30.81,17.79,0.35,11,0.75,,,,,,D20170919T171446_IFCB113
9/19/17,17,37.868611,-122.417500,2,1.9,7,28.15,18.85,0.27,7,0.93,,,,,,
9/19/17,16,37.916667,-122.435556,2,2.3,7.1,28.33,18.74,0.33,9,0.75,,,,,,
9/19/17,15,37.967778,-122.433889,2,1.9,7.3,23.98,19.51,0.48,17,1.1,,,,,,
9/19/17,14,38.001111,-122.400833,2,2.1,7.2,24.2,19.61,0.4,13,0.96,,,,,,
9/19/17,13,38.018611,-122.367222,2,2.6,7.4,22.88,19.89,0.82,33,1.7,,,,,,
9/19/17,12,38.050278,-122.301944,2,2.6,7.6,18.22,20.35,0.43,14,1.04,,,,,,
9/19/17,11,38.051667,-122.266667,2,1.6,7.6,15.61,20.42,0.52,19,1.24,,,,,,
9/19/17,10,38.051667,-122.201389,2,2.2,7.9,10.85,20.63,0.58,22,1.85,,,,,,
9/19/17,9,38.051111,-122.183611,2,2.2,7.8,10.79,20.5,0.66,25,1.42,,,,,,
9/19/17,8,38.018889,-122.150278,2,2.6,8,8.67,20.42,0.8,32,1.63,,,,,,
9/19/17,7,38.035833,-122.085556,2,4.2,8.1,7.17,20.49,3.49,161,5.36,,,,,,
9/19/17,6,38.052500,-122.033611,2,2.9,8.3,3.42,20.78,1.4,45,2.33,,,,,,D20170919T200313_IFCB113
9/19/17,5,38.051667,-121.968889,2,3,8.4,1.39,20.91,1.26,39,2.48,,,,,,
9/19/17,4,38.035833,-121.933611,2,3.5,8.3,0.48,20.8,1.84,65,3.41,,,,,,
9/19/17,3,38.050278,-121.868889,2,3.3,8.3,0.34,20.8,1.48,49,2.32,,,,,,
9/19/17,2,38.052222,-121.850278,2,3.4,8.4,0.2,20.81,0.96,25,1.66,,,,,,
9/19/17,649,38.051667,-121.800000,2,3.4,8.4,0.09,20.53,1.05,29,1.6,,,,,,
9/19/17,657,38.150278,-121.684167,2,2.4,8.4,0.07,19.84,0.75,15,0.83,,,,,,D20170919T214922_IFCB113
9/28/17,36,37.467500,-122.066667,2,3.5,6.8,27.15,21.04,1.14,21,1.62,,,,,,D20170928T150121_IFCB113
9/28/17,35,37.468889,-122.068611,2,3.5,6.9,27.42,20.94,0.96,18,1.5,,,,,,
9/28/17,34,37.484722,-122.085833,2,3.3,7,27.8,20.77,0.78,15,1.17,,,,,,
9/28/17,33,37.501389,-122.117500,2,4.7,7.3,28.13,20.77,0.51,11,1.06,,,,,,
9/28/17,32,37.516944,-122.133333,2,3.6,7.1,28.3,20.46,0.3,7,0.94,,,,,,D20170928T154222_IFCB113
9/28/17,31,37.518611,-122.151389,2,3,6.9,28.46,20.36,0.28,7,0.96,,,,,,
9/28/17,30,37.550833,-122.184444,2,2.6,6.8,28.64,20.07,0.32,8,0.95,,,,,,
9/28/17,29.5,37.566944,-122.216944,2,2.5,6.8,28.79,20.07,0.29,7,0.92,,,,,,
9/28/17,29,37.568889,-122.235278,2,3,7,28.94,20.28,0.17,5,0.56,,,,,,
9/28/17,28,37.600278,-122.267222,2,4.2,7,28.94,20.16,0.17,5,0.52,,,,,,
9/28/17,27,37.616944,-122.284722,2,4.3,7,29.07,20.22,0.18,6,0.69,,,,,,D20170928T164716_IFCB113
9/28/17,26,37.633889,-122.302222,2,3.7,7.1,29.17,20.4,0.15,5,0.63,,,,,,
9/28/17,25,37.667222,-122.318056,2,4.5,7.1,28.96,19.72,0.12,5,0.4,,,,,,
9/28/17,24,37.685833,-122.334167,2,5.8,7.4,27.73,19.12,0.1,4,0.38,,,,,,
9/28/17,23,37.718611,-122.333889,2,6.1,7.3,27.87,18.89,0.11,4,0.36,,,,,,
9/28/17,22,37.752500,-122.351389,2,9.3,7.8,26.35,18.69,0.11,4,0.32,,,,,,D20170928T174901_IFCB113
9/28/17,21,37.784167,-122.351389,2,7.3,7.5,27.01,18.67,0.11,4,0.32,,,,,,
9/28/17,20,37.817222,-122.385000,2,5.8,7.5,27.16,18.51,0.11,4,0.44,,,,,,
9/28/17,18,37.835556,-122.417500,2,4.1,7.5,28.12,18.1,0.11,5,0.53,,,,,,D20170928T182517_IFCB113
10/18/17,34,37.484722,-122.085833,2,5.1,5.9,25.55,18.33,4.32,182,,,,,,,D20171018T140939_IFCB113
10/18/17,32,37.516944,-122.133333,2,3.5,6.6,27.55,18.43,1.52,64,,,,,,,D20171018T143430_IFCB113
10/18/17,31,37.518611,-122.151389,2,3.4,6.7,27.99,18.54,1.14,48,,,,,,,
10/18/17,30,37.550833,-122.184444,2,3.4,6.8,28.35,18.57,0.9,37,3.15,,,,,,
10/18/17,29,37.568889,-122.235278,2,3.2,6.8,28.62,18.35,1.13,47,2.46,,,,,,
10/18/17,28,37.600278,-122.267222,2,3.1,6.8,28.73,18.34,0.69,28,2.95,,,,,,
10/18/17,27,37.616944,-122.284722,2,3.2,6.9,28.87,18.13,0.97,40,1.81,,,,,,D20171018T152919_IFCB113
10/18/17,26,37.633889,-122.302222,2,3.3,7,28.99,18.15,1.02,42,2.31,,,,,,
10/18/17,25,37.667222,-122.318056,2,3.1,6.8,29.12,17.82,1,42,2.46,,,,,,
10/18/17,24,37.685833,-122.334167,2,3,6.8,29.25,17.31,0.72,30,2.27,,,,,,
10/18/17,23,37.718611,-122.333889,2,2.8,6.8,29.4,16.55,0.73,30,1.77,,,,,,
10/18/17,22,37.752500,-122.351389,2,3.4,6.7,29.79,14.9,0.45,18,1.64,,,,,,D20171018T163327_IFCB113
10/18/17,21,37.784167,-122.351389,2,3.6,6.7,29.56,14.75,0.39,16,1.18,,,,,,
10/18/17,20,37.817222,-122.385000,2,3.9,6.4,30.96,13.94,0.31,12,0.94,,,,,,
10/18/17,18,37.835556,-122.417500,2,4.9,6.5,31.35,13.64,0.22,9,0.74,,,,,,D20171018T171545_IFCB113
10/18/17,17,37.868611,-122.417500,2,3.5,6.8,29.49,14.74,0.21,8,0.62,,,,,,
10/18/17,16,37.916667,-122.435556,2,3.2,6.6,29.77,14.64,0.29,11,0.48,,,,,,
10/18/17,15,37.967778,-122.433889,2,2.2,7.1,26.36,15.73,0.38,15,0.75,,,,,,
10/18/17,14,38.001111,-122.400833,2,2.1,7.1,26.24,15.77,0.32,13,0.88,,,,,,
10/18/17,13,38.018611,-122.367222,2,1.8,7.2,25.72,15.96,0.45,18,0.87,,,,,,
10/18/17,12,38.050278,-122.301944,2,1.9,7.4,23.39,16.38,0.36,14,1.27,,,,,,
10/18/17,11,38.051667,-122.266667,2,2,7.8,19.13,16.96,0.46,19,1.06,,,,,,
10/18/17,10,38.051667,-122.201389,2,2,7.8,18.48,16.9,0.45,18,1.28,,,,,,
10/18/17,9,38.051111,-122.183611,2,1.9,7.9,17.4,16.95,0.75,31,1.15,,,,,,
10/18/17,8,38.018889,-122.150278,2,1.9,8,15.73,17.18,0.46,19,1.71,,,,,,
10/18/17,7,38.035833,-122.085556,2,2,8.1,13.34,17.18,0.82,34,1.17,,,,,,
10/18/17,6,38.052500,-122.033611,2,1.9,8.5,8.24,17.45,0.56,11,2.22,,,,,,D20171018T201344_IFCB113
10/18/17,5,38.051667,-121.968889,2,1.9,8.7,4.78,17.4,0.8,20,1.63,,,,,,
10/18/17,4,38.035833,-121.933611,2,1.9,8.8,2.87,17.31,0.79,20,2.09,,,,,,
10/18/17,3,38.050278,-121.868889,2,2.6,8.8,2.5,17.04,2.06,68,1.81,,,,,,
10/18/17,2,38.052222,-121.850278,2,3.1,8.8,1.44,17.07,1.41,43,4.99,,,,,,
10/18/17,649,38.051667,-121.800000,2,3.2,8.9,0.58,16.94,1.01,28,2.52,,,,,,
10/18/17,657,38.150278,-121.684167,2,2.7,9.2,0.06,16.1,0.71,17,2.27,,,,,,D20171018T215918_IFCB113
10/27/17,36,37.467500,-122.066667,2,3.9,6.7,27.15,19.55,0.9,12,0.97,,,,,,
10/27/17,35,37.468889,-122.068611,2,3.8,6.9,27.46,19.39,0.82,12,1.29,,,,,,
10/27/17,34,37.484722,-122.085833,2,3.7,7,27.82,19.18,0.76,11,1.2,,,,,,
10/27/17,33,37.501389,-122.117500,2,3.4,7,28.08,19.01,0.45,8,1.16,,,,,,
10/27/17,32,37.516944,-122.133333,2,3.3,7,28.16,18.89,0.29,7,0.8,,,,,,
10/27/17,31,37.518611,-122.151389,2,2.7,7,28.43,18.66,0.25,6,0.71,,,,,,
10/27/17,30,37.550833,-122.184444,2,2.2,7,28.73,18.39,0.25,6,0.85,,,,,,
10/27/17,29.5,37.566944,-122.216944,2,3.9,7.2,28.76,18.39,0.18,6,0.86,,,,,,
10/27/17,29,37.568889,-122.235278,2,3.8,7.1,28.85,18.29,0.22,6,0.77,,,,,,
10/27/17,28,37.600278,-122.267222,2,3.3,7.2,28.99,18.28,0.22,6,0.63,,,,,,
10/27/17,27,37.616944,-122.284722,2,3.7,7.2,29.05,18.18,0.22,6,0.77,,,,,,
10/27/17,26,37.633889,-122.302222,2,3.4,6.9,29.13,18.07,0.24,6,0.6,,,,,,
10/27/17,25,37.667222,-122.318056,2,4.7,7,29.27,17.69,0.16,5,0.8,,,,,,
10/27/17,24,37.685833,-122.334167,2,4.4,7.2,28.9,16.47,0.14,5,0.58,,,,,,
10/27/17,23,37.718611,-122.333889,2,4.6,7.2,28.59,15.89,0.13,5,0.47,,,,,,
10/27/17,22,37.752500,-122.351389,2,3.1,7.1,28.47,15.63,0.16,5,0.44,,,,,,
10/27/17,21,37.784167,-122.351389,2,4,7.2,28.74,16.03,0.16,5,0.45,,,,,,
10/27/17,20,37.817222,-122.385000,2,2.4,7.1,28.77,15.49,0.18,6,0.58,,,,,,
10/27/17,18,37.835556,-122.417500,2,3.9,7.2,28.89,15.44,0.15,5,0.39,,,,,,
11/14/17,36,37.467500,-122.066667,2,3.8,6.8,26.61,16.21,3.61,133,6.33,,,,,,
11/14/17,35,37.468889,-122.068611,2,3.2,6.9,27.27,16.15,2.55,94,5.27,,,,,,
11/14/17,34,37.484722,-122.085833,2,3,7,27.7,16.07,1.6,59,4.38,,,,,,
11/14/17,33,37.501389,-122.117500,2,2.5,7.1,28.3,16.12,1.09,40,2.82,,,,,,
11/14/17,32,37.516944,-122.133333,2,2.6,7.1,28.4,16.13,0.92,34,2.44,,,,,,
11/14/17,31,37.518611,-122.151389,2,2.2,7.2,28.65,16.12,0.72,26,2.06,,,,,,
11/14/17,30,37.550833,-122.184444,2,2,7.2,28.88,16.15,0.65,24,1.69,,,,,,
11/14/17,29,37.568889,-122.235278,2,2.9,7.3,29.02,16.04,0.71,26,1.95,,,,,,
11/14/17,28,37.600278,-122.267222,2,3,7.3,29.11,15.93,0.71,26,2.02,,,,,,
11/14/17,27,37.616944,-122.284722,2,2.8,7.3,29.23,15.78,0.6,22,1.8,,,,,,
11/14/17,26,37.633889,-122.302222,2,2.8,7.2,29.39,15.53,0.47,17,1.32,,,,,,
11/14/17,25,37.667222,-122.318056,2,2.6,7.1,29.49,15.23,0.44,16,1.28,,,,,,
11/14/17,24,37.685833,-122.334167,2,2.3,7.1,29.63,14.67,0.31,11,0.94,,,,,,
11/14/17,23,37.718611,-122.333889,2,2.3,7.3,29.59,14.32,0.39,14,1.13,,,,,,
11/14/17,22,37.752500,-122.351389,2,3,7.4,29.99,14.22,0.22,8,0.63,,,,,,
11/14/17,21,37.784167,-122.351389,2,2.6,7.3,29.25,14.34,0.25,9,0.66,,,,,,
11/14/17,20,37.817222,-122.385000,2,2.4,7.5,31.21,13.95,0.2,7,0.65,,,,,,
11/14/17,18,37.835556,-122.417500,2,2.5,7.6,30.69,14.04,0.2,7,0.48,,,,,,
11/14/17,17,37.868611,-122.417500,2,2.6,7.6,29.87,14.24,0.17,6,0.44,,,,,,
11/14/17,16,37.916667,-122.435556,2,2.6,7.5,30.63,14.11,0.17,6,0.64,,,,,,
11/14/17,15,37.967778,-122.433889,2,3,7.6,25.76,14.71,0.46,17,1.3,,,,,,
11/14/17,14,38.001111,-122.400833,2,2.4,7.5,27.67,14.57,0.28,10,0.82,,,,,,
11/14/17,13,38.018611,-122.367222,2,2.5,7.5,25.96,14.69,0.3,11,0.83,,,,,,
11/14/17,12,38.050278,-122.301944,2,2.3,7.6,23.2,14.87,0.52,19,1.38,,,,,,
11/14/17,11,38.051667,-122.266667,2,1.9,7.8,21.75,15.02,0.52,19,1.49,,,,,,
11/14/17,10,38.051667,-122.201389,2,1.8,7.9,20.07,15.22,0.5,18,,,,,,,
11/14/17,9,38.051111,-122.183611,2,1.7,8,18.64,15.18,0.43,16,1.41,,,,,,
11/14/17,8,38.018889,-122.150278,2,1.8,8.1,16.47,15.49,0.44,16,1.44,,,,,,
11/14/17,7,38.035833,-122.085556,2,1.6,8.2,15.47,15.3,0.43,16,1.3,,,,,,
11/14/17,6,38.052500,-122.033611,2,1.7,8.5,10.35,15.49,0.45,16,1.42,,,,,,
11/14/17,5,38.051667,-121.968889,2,1.7,8.8,7.4,15.24,0.63,23,1.96,,,,,,
11/14/17,4,38.035833,-121.933611,2,1.8,8.9,5,15.57,0.59,22,1.91,,,,,,
11/14/17,3,38.050278,-121.868889,2,1.7,8.8,3.96,15.35,0.49,18,1.58,,,,,,
11/14/17,2,38.052222,-121.850278,2,1.7,8.8,3.07,15.38,0.55,20,1.75,,,,,,
11/14/17,649,38.051667,-121.800000,2,1.8,8.8,1.4,15.42,0.69,25,1.94,,,,,,
11/14/17,657,38.150278,-121.684167,2,1.4,8.7,0.08,14.5,0.61,22,0.99,,,,,,
12/6/17,36,37.467500,-122.066667,2,,,,,,,,,,,,,D20171206T150633_IFCB113
12/6/17,32,37.516944,-122.133333,2,,,,,,,,,,,,,D20171206T154509_IFCB113
12/6/17,27,37.616944,-122.284722,2,,,,,,,,,,,,,D20171206T164136_IFCB113
12/6/17,22,37.752500,-122.351389,2,,,,,,,,,,,,,D20171206T174311_IFCB113
12/6/17,18,37.835556,-122.417500,2,,,,,,,,,,,,,D20171206T190135_IFCB113
12/6/17,15,37.967778,-122.433889,2,,,,,,,,,,,,,D20171206T192106_IFCB113
12/6/17,13,38.018611,-122.367222,2,,,,,,,,,,,,,D20171206T194540_IFCB113
12/6/17,9,38.051111,-122.183611,2,,,,,,,,,,,,,D20171206T204007_IFCB113
12/6/17,6,38.052500,-122.033611,2,,,,,,,,,,,,,D20171206T212807_IFCB113
12/6/17,3,38.050278,-121.868889,2,,,,,,,,,,,,,D20171206T220846_IFCB113
12/6/17,649,38.051667,-121.800000,2,,,,,,,,,,,,,D20171206T223512_IFCB113
12/6/17,657,38.150278,-121.684167,2,,,,,,,,,,,,,D20171206T231801_IFCB113
